End of program
         22957361 function calls in 21.385 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   21.385   21.385 <string>:1(<module>)
        1    4.400    4.400   21.384   21.384 permut_pscalar2.py:1(<module>)
 11473176    6.441    0.000   16.718    0.000 permut_pscalar2.py:7(dot_product)
        1    0.001    0.001   21.385   21.385 {execfile}
        1    0.000    0.000    0.000    0.000 {iter}
     2000    0.000    0.000    0.000    0.000 {len}
     4000    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2000    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     2000    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'writelines' of 'file' objects}
     1000    0.264    0.000    0.264    0.000 {min}
        2    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 {range}
 11473176   10.277    0.000   10.277    0.000 {sum}


